HomeTeam,AwayTeam,HomeScore,AwayScore,Week,HomeResult,AwayResult,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns
KC,TEN,21,22,1,0,1,20.875,25.9375,18.125,20.125,29.95875,30.8175,35.2125,38.175
LAR,ATL,13,26,1,0,1,22.0625,29.875,20.625,19.4375,29.7625,29.920624999999994,43.59375,40.05625
JAX,BUF,10,3,1,1,0,18.875,26.0625,17.375,20.75,28.21375,32.243125000000006,41.30625000000001,36.8
NO,CAR,31,26,1,1,0,22.6875,28.0,20.0,20.75,32.0475,31.01875,42.39999999999999,36.9625
PHI,ATL,15,10,2,1,0,26.0,28.5625,20.0,21.125,37.35,32.48375,33.3,41.27500000000001
NE,TEN,35,14,2,1,0,22.0,28.625,23.0,24.3125,32.28,30.503125,61.5,40.19375
PIT,JAX,42,45,2,0,1,10.0,25.375,15.0,21.75,27.23,31.875625,16.7,42.50625
MIN,NO,29,24,2,1,0,31.0,23.875,21.0,20.875,26.11,32.28,25.0,43.5625
NE,JAX,24,20,3,1,0,27.5,35.0,18.5,31.0,27.865,32.56,36.9,64.7
PHI,MIN,38,7,3,1,0,29.0,15.0,24.0,22.0,33.17,32.6,58.8,46.2
NE,PHI,33,41,4,0,1,26.5,29.5,24.5,26.5,33.5,28.54,58.8,44.85
