HomeTeam,AwayTeam,HomeScore,AwayScore,Week,HomeResult,AwayResult,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns
HOU,IND,7,21,1,0,1,27.0625,25.125,23.1875,20.8125,29.863750000000003,30.642499999999995,48.46874999999999,35.94374999999999
DAL,SEA,24,22,1,1,0,26.75,21.1875,20.5625,20.125,31.32125,31.373125,37.875,40.2875
BAL,LAC,17,23,1,0,1,26.75,24.3125,21.125,22.9375,30.539375,32.809999999999995,38.6,44.51250000000001
CHI,PHI,15,16,1,0,1,22.9375,26.3125,21.625,20.6875,32.460625,32.32875,39.21875000000001,40.975
KC,IND,31,13,2,1,0,21.0,35.3125,26.0,24.0,31.14,29.103124999999995,64.3,47.25000000000001
LAR,DAL,30,22,2,1,0,24.0,32.9375,23.0,25.0625,34.5,30.611250000000005,36.4,43.8625
NE,LAC,41,28,2,1,0,23.0,27.25,14.0,22.8125,33.4,30.996875,35.3,40.08125
NO,PHI,20,14,2,1,0,16.0,31.5,21.0,23.5625,30.48,31.774999999999995,46.2,44.71874999999999
NO,LAR,23,26,3,0,1,30.0,20.0,30.0,25.0,36.13,37.5,45.5,53.3
KC,NE,31,37,3,0,1,41.0,31.0,30.0,29.0,38.2,39.49,50.0,28.6
LAR,NE,3,13,4,0,1,39.0,28.0,33.0,24.5,40.895,34.245000000000005,59.2,41.5
