HomeTeam,AwayTeam,HomeScore,AwayScore,Week,HomeResult,AwayResult,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns,PredictHomeTeamWin
ARI,SEA,10,27,4,0,1,25.33333333,21.33333333,21.0,19.0,30.29666667,28.01,35.83333333,37.33333333,0
LAR,TB,40,55,4,0,1,22.66666667,25.66666667,20.33333333,20.66666667,32.07,30.53333333,30.26666667,44.76666667,0
CHI,MIN,16,6,4,1,0,26.0,16.66666667,18.66666667,18.33333333,28.77666667,29.01,45.46666667,36.26666667,1
DEN,JAX,24,26,4,0,1,19.33333333,15.33333333,15.33333333,21.66666667,27.66333333,31.69333333,30.43333333,40.3,1
NO,DAL,12,10,4,1,0,32.33333333,24.0,25.33333333,18.33333333,31.98666667,29.26333333,57.86666667,40.56666667,1
PIT,CIN,27,3,4,1,0,18.0,16.33333333,17.66666667,14.33333333,28.83666667,24.94666667,39.1,25.76666667,1
SEA,LAR,30,29,5,1,0,29.25,25.75,24.5,21.0,29.71,31.0325,42.675,36.875,1
CAR,JAX,34,27,5,1,0,21.0,23.75,17.75,20.25,30.5275,27.92,29.975,39.225,1
CIN,ARI,23,26,5,0,1,18.5,14.25,19.25,17.25,27.5975,29.1625,36.325,36.475,0
HOU,ATL,53,32,5,1,0,17.5,19.5,23.75,19.25,29.1275,29.1,42.675,47.55,1
LV,CHI,24,21,5,1,0,16.5,19.75,18.0,19.0,30.575,30.3475,35.0,45.825,1
NO,TB,31,24,5,1,0,30.75,21.0,22.0,18.25,32.1425,31.0475,38.075,41.15,1
NYG,MIN,10,28,5,0,1,21.0,21.75,17.75,21.75,27.665,29.505,43.725,37.725,0
PHI,NYJ,31,6,5,1,0,8.25,27.5,9.0,21.5,21.6875,31.595,13.875,56.025,1
PIT,BAL,23,26,5,0,1,33.75,19.0,27.5,15.75,34.9875,26.075,48.025,27.65,0
TEN,BUF,7,14,5,0,1,19.0,22.75,23.75,20.5,32.2275,30.5325,35.6,30.825,1
WAS,NE,7,33,5,0,1,30.5,16.5,20.75,16.75,32.7425,25.865,43.075,28.05,0
LAC,DEN,13,20,5,0,1,17.5,22.5,21.0,23.0,28.89,33.1325,39.325,51.15,0
DAL,GB,24,34,5,0,1,21.25,26.75,20.0,22.75,30.5925,29.88,31.675,52.5,1
KC,IND,13,19,5,0,1,23.5,33.75,23.5,26.0,30.465,29.29,50.95,51.775,0
SF,CLE,31,3,5,1,0,22.25,24.0,18.75,17.5,30.3425,24.69,31.125,37.15,1
NE,NYG,35,14,6,1,0,19.4,31.0,21.0,21.2,29.044,32.5,40.18,41.12,1
TB,CAR,26,37,6,0,1,25.8,29.4,20.6,21.4,27.808000000000003,30.98,38.04,35.92,0
BAL,CIN,23,17,6,1,0,16.0,32.2,18.0,26.4,29.044,35.79,37.52,46.42,1
CLE,SEA,28,32,6,0,1,26.6,18.4,21.8,16.8,31.862,28.708000000000002,35.5,26.72,0
JAX,NO,6,13,6,0,1,23.0,22.2,19.6,19.8,31.491999999999997,30.87,43.58,33.22,0
KC,HOU,24,31,6,0,1,26.2,29.6,21.6,24.4,29.48,27.921999999999997,53.42,48.08,0
MIA,WAS,16,17,6,0,1,14.6,5.2,15.6,10.6,26.432,18.894000000000002,24.26,22.66,0
MIN,PHI,38,20,6,1,0,28.2,22.4,20.6,18.6,31.38,28.612,52.52,44.08,1
ARI,ATL,34,33,6,1,0,20.4,20.0,23.4,20.6,29.101999999999997,28.338,45.38,38.3,1
LAR,SF,7,20,6,0,1,31.75,29.2,23.0,24.4,34.0475,28.651999999999997,46.525,39.6,0
DEN,TEN,16,0,6,1,0,19.6,18.0,19.2,19.8,30.122,28.984,30.38,36.92,1
NYJ,DAL,24,22,6,1,0,26.2,9.75,24.6,11.25,28.538,29.1375,47.0,19.225,1
LAC,PIT,17,24,6,0,1,19.8,20.6,16.2,22.2,25.928,32.554,28.78,47.08,1
GB,DET,23,22,6,1,0,19.4,23.8,17.4,20.8,25.721999999999998,31.76,30.94,30.34,1
DEN,KC,6,30,7,0,1,28.66666667,17.66666667,23.66666667,18.33333333,26.62166667,29.06333333,48.4,33.15,0
ATL,LAR,10,37,7,0,1,25.5,22.5,22.0,24.66666667,27.51,29.66333333,33.0,46.9,0
BUF,MIA,31,21,7,1,0,8.4,15.0,14.8,18.83333333,25.372,26.67166667,26.94,28.86666667,1
CIN,JAX,17,27,7,0,1,19.5,16.16666667,18.33333333,18.0,30.14333333,27.56666667,32.45,38.85,0
DET,MIN,30,42,7,0,1,25.0,23.8,19.83333333,20.0,29.24333333,31.034000000000002,40.06666667,35.56,0
GB,LV,42,24,7,1,0,17.16666667,23.66666667,16.83333333,21.0,25.97,32.03333333,38.88333333,30.83333333,1
IND,HOU,30,23,7,1,0,27.0,18.83333333,23.83333333,19.83333333,31.14666667,26.50166667,51.46666667,39.91666667,1
NYG,ARI,21,27,7,0,1,22.33333333,18.5,21.16666667,19.16666667,28.13666667,27.57666667,40.88333333,36.81666667,0
WAS,SF,0,9,7,0,1,29.4,15.0,22.8,15.16666667,34.942,26.56166667,46.64,23.25,0
TEN,LAC,23,20,7,1,0,20.0,16.33333333,22.33333333,18.0,31.38666667,30.125,48.95,27.7,1
CHI,NO,25,36,7,0,1,21.33333333,14.5,19.33333333,14.5,31.89333333,24.57833333,42.73333333,29.4,0
SEA,BAL,16,30,7,0,1,30.66666667,27.5,26.33333333,23.0,36.395,32.12,48.68333333,37.28333333,0
DAL,PHI,37,10,7,1,0,26.83333333,25.5,20.33333333,24.83333333,30.74333333,29.165,49.31666667,48.96666667,1
NYJ,NE,0,33,7,0,1,31.66666667,12.6,22.16666667,13.0,33.64333333,28.824,41.96666667,19.38,0
MIN,WAS,19,9,8,1,0,12.85714286,27.42857143,14.42857143,21.57142857,26.53285714,29.65142857,24.68571429,42.91428571,1
ATL,SEA,20,27,8,0,1,25.85714286,20.71428571,22.57142857,23.14285714,31.90285714,28.64142857,40.35714286,43.77142857,0
BUF,PHI,13,31,8,0,1,24.42857143,20.16666667,19.71428571,21.66666667,30.26285714,31.05333333,47.02857143,33.86666667,1
CHI,LAC,16,17,8,0,1,20.0,18.66666667,22.57142857,17.16666667,30.82428571,28.30166667,49.74285714,32.18333333,0
DET,NYG,31,26,8,1,0,18.85714286,24.83333333,19.42857143,21.0,27.93714286,30.445,36.31428571,38.71666667,1
IND,DEN,15,13,8,1,0,16.0,23.83333333,17.85714286,23.66666667,28.83571429,31.92166667,29.51428571,48.25,1
JAX,NYJ,29,15,8,1,0,10.5,20.57142857,12.83333333,18.85714286,27.575,31.29,19.18333333,31.38571429,1
LAR,CIN,24,10,8,1,0,16.28571429,27.14285714,18.42857143,22.14285714,26.69,28.99428571,39.25714286,35.42857143,1
NO,ARI,31,9,8,1,0,23.0,23.42857143,20.71428571,20.0,28.34428571,32.66,41.71428571,43.3,1
TEN,TB,27,23,8,1,0,24.71428571,17.28571429,18.57142857,18.57142857,26.2,30.41428571,30.41428571,31.52857143,1
SF,CAR,51,13,8,1,0,23.71428571,26.0,17.14285714,21.83333333,24.30571429,34.65833333,30.02857143,46.16666667,1
HOU,LV,27,24,8,1,0,21.16666667,26.42857143,20.33333333,23.42857143,30.86333333,30.66857143,49.48333333,48.87142857,1
NE,CLE,27,13,8,1,0,17.14285714,31.85714286,15.0,22.14285714,24.24714286,34.30428571,24.44285714,42.22857143,1
KC,GB,24,31,8,0,1,26.28571429,28.85714286,21.14285714,22.28571429,31.77714286,27.40857143,35.0,46.24285714,0
PIT,MIA,27,14,8,1,0,10.5,17.57142857,16.33333333,14.14285714,26.695,23.44857143,31.41666667,29.34285714,1
ARI,SF,25,28,9,0,1,29.57142857,21.25,22.14285714,19.375,34.43571429,27.56375,46.71428571,38.5875,0
JAX,HOU,3,26,9,0,1,26.5,21.625,24.125,19.125,31.27625,31.53,48.125,33.35,0
BUF,WAS,24,9,9,1,0,12.375,19.14285714,14.375,20.85714286,26.12125,30.08857143,25.175,34.74285714,1
CAR,TEN,30,20,9,1,0,18.5,25.57142857,18.25,18.85714286,30.14625,28.10428571,32.4,32.22857143,1
KC,MIN,26,23,9,1,0,26.375,28.25,21.625,22.125,30.49,27.29125,44.2125,47.275,1
MIA,NYJ,26,18,9,1,0,11.14285714,11.0,13.14285714,16.28571429,27.40571429,26.37,19.61428571,32.28571429,1
PHI,CHI,22,14,9,1,0,18.28571429,25.25,18.42857143,19.875,29.68714286,30.92625,32.68571429,47.8125,1
PIT,IND,26,24,9,1,0,22.57142857,21.42857143,23.0,17.14285714,31.52714286,28.47428571,46.11428571,35.94285714,1
LV,DET,31,24,9,1,0,25.71428571,21.57142857,20.42857143,19.57142857,30.25714286,29.98285714,41.34285714,48.37142857,1
SEA,TB,40,34,9,1,0,28.0,26.0,21.85714286,22.0,30.67571429,31.55625,37.08571429,39.475,1
DEN,CLE,24,19,9,1,0,19.0,15.625,17.14285714,18.25,28.16857143,29.03625,28.01428571,27.9125,1
LAC,GB,26,11,9,1,0,26.875,19.625,21.125,21.125,31.94625,29.72125,38.3125,46.025,1
BAL,NE,37,20,9,1,0,31.25,26.75,21.75,21.5,34.035,30.98875,40.85,41.325,0
NYG,DAL,18,37,9,0,1,23.75,19.75,21.5,20.0,25.90125,28.25375,43.8625,39.0625,0
LV,LAC,26,24,10,1,0,20.33333333,22.75,21.44444444,20.25,30.36444444,30.2975,45.96666667,49.05,1
CHI,DET,20,13,10,1,0,25.5,17.75,21.125,17.375,29.8625,28.40375,41.8625,31.1,1
CIN,BAL,13,49,10,0,1,31.375,13.77777778,24.75,17.0,35.62625,24.36222222,47.575,34.23333333,0
CLE,BUF,19,16,10,1,0,19.75,19.0,20.5,17.625,30.26125,29.06,36.65,29.5125,0
NO,ATL,9,26,10,0,1,18.33333333,21.66666667,21.33333333,18.66666667,25.66222222,29.57888889,37.74444444,40.15555556,0
NYJ,NYG,34,27,10,1,0,19.55555556,12.0,20.0,13.625,28.62111111,27.5375,38.18888889,21.625,1
TB,ARI,30,27,10,1,0,21.66666667,28.75,19.33333333,22.75,27.31111111,31.2475,37.07777778,37.8125,1
TEN,KC,35,32,10,1,0,28.0,18.66666667,21.55555556,18.88888889,27.75666667,29.73333333,45.44444444,32.13333333,1
IND,MIA,12,16,10,0,1,12.875,22.75,17.0,22.875,26.96625,31.37625,34.5,44.5125,1
GB,CAR,24,16,10,1,0,26.125,25.11111111,19.25,20.22222222,28.7375,31.16333333,32.6625,36.27777778,1
PIT,LAR,17,12,10,1,0,23.77777778,22.0,19.33333333,17.125,25.57,28.575,33.53333333,36.2625,1
DAL,MIN,24,28,10,0,1,26.0,28.375,21.11111111,24.5,30.22666667,29.45125,43.0,48.4125,0
SF,SEA,24,27,10,0,1,27.55555556,29.375,23.0,22.0,31.17555556,34.42,37.86666667,48.9625,1
CLE,PIT,21,7,11,1,0,21.44444444,19.0,16.88888889,18.33333333,28.88888889,29.32666667,35.7,30.27777778,1
BAL,HOU,41,7,11,1,0,23.8,33.33333333,21.4,24.22222222,28.254,34.27777778,42.14,49.7,1
CAR,ATL,3,29,11,0,1,21.22222222,25.0,24.0,20.0,29.38,28.69777778,42.18888889,33.47777778,0
DET,DAL,27,35,11,0,1,27.88888889,24.11111111,24.44444444,21.11111111,29.10444444,30.04888889,49.7,41.53333333,0
IND,JAX,33,13,11,1,0,17.6,21.55555556,17.4,22.44444444,27.951,31.03666667,30.32,43.84444444,1
MIA,BUF,20,37,11,0,1,19.33333333,13.22222222,20.44444444,16.55555556,30.02555556,27.44555556,36.85555556,34.83333333,0
MIN,DEN,27,23,11,1,0,14.9,26.2,15.9,21.7,25.659000000000002,30.531,25.66,44.41,1
TB,NO,17,34,11,0,1,22.66666667,28.88888889,20.66666667,23.11111111,32.48333333,31.80888889,42.93333333,38.8,1
WAS,NYJ,17,34,11,0,1,14.44444444,10.8,14.11111111,12.7,27.86,23.71,22.64444444,21.96,0
SF,ARI,36,26,11,1,0,22.2,28.77777778,19.4,21.88888889,26.936999999999998,34.41888889,34.37,47.96666667,1
LV,CIN,17,10,11,1,0,15.22222222,23.11111111,19.33333333,20.0,28.37444444,29.76444444,39.42222222,47.3,1
PHI,NE,10,17,11,0,1,27.0,22.4,19.6,18.5,29.487,28.759,36.53,42.69,0
LAR,CHI,17,7,11,1,0,18.0,25.11111111,16.88888889,21.11111111,28.42555556,28.70333333,29.5,34.32222222,1
LAC,KC,17,24,11,0,1,28.4,20.7,22.2,21.9,28.733,30.738000000000003,45.9,44.37,0
HOU,IND,20,17,12,1,0,22.7,24.5,22.5,23.0,31.285,30.595,43.1,44.14,1
ATL,TB,22,35,12,0,1,27.7,22.0,22.9,23.6,30.928,29.568,38.77,42.26,0
BUF,DEN,20,3,12,1,0,17.2,21.1,17.9,20.6,29.302,30.113000000000003,28.44,36.74,1
CHI,NYG,19,14,12,1,0,18.45454545,16.9,17.72727273,16.9,26.06818182,28.826999999999998,35.28181818,30.08,1
CIN,PIT,10,16,12,0,1,20.0,14.7,17.0,19.0,28.64,27.975,33.95,37.79,1
CLE,MIA,41,24,12,1,0,13.9,19.2,16.8,18.2,27.651999999999997,29.75,34.21,31.0,1
NO,CAR,34,31,12,1,0,22.8,23.8,19.7,20.7,28.662,32.935,31.56,44.02,1
NYJ,LV,34,3,12,1,0,22.5,16.4,20.0,15.0,30.31,28.29300000000001,47.24,24.55,1
PHI,SEA,9,17,12,0,1,25.0,23.4,20.54545455,20.6,28.70636364,31.894000000000002,35.22727273,45.0,0
WAS,DET,19,16,12,1,0,24.4,12.5,20.9,14.0,30.004,26.451,42.0,25.71,1
TEN,JAX,42,20,12,1,0,18.9,18.45454545,18.9,17.18181818,30.631,26.4,34.61,28.56363636,1
NE,DAL,13,9,12,1,0,28.6,28.7,24.6,21.5,29.248,32.312,50.44,39.65,1
SF,GB,37,8,12,1,0,22.72727273,29.5,18.63636364,22.3,28.33545455,33.814,33.71818182,47.79,1
LAR,BAL,6,45,12,0,1,34.1,24.3,24.3,20.3,34.469,28.549,50.29,33.89,0
DET,CHI,20,24,13,0,1,17.09090909,23.63636364,17.18181818,20.90909091,29.21636364,30.30363636,29.77272727,41.81818182,0
DAL,BUF,15,26,13,0,1,21.0,26.81818182,20.72727273,23.81818182,30.59363636,29.33636364,37.94545455,47.25454545,0
ATL,NO,18,26,13,0,1,24.72727273,22.0,20.90909091,23.45454545,32.51090909,29.73272727,43.65454545,40.69090909,0
BAL,SF,20,17,13,1,0,30.18181818,35.09090909,21.72727273,24.90909091,32.96181818,34.93181818,46.47272727,51.17272727,1
CAR,WAS,21,29,13,0,1,13.09090909,23.54545455,13.90909091,20.27272727,26.43727273,28.90454545,25.97272727,32.19090909,0
CIN,NYJ,22,6,13,1,0,18.0,14.27272727,15.54545455,18.27272727,28.56636364,27.72272727,26.10909091,35.87272727,1
IND,TEN,17,31,13,0,1,22.27272727,22.18181818,19.09090909,22.18181818,28.52727273,31.45636364,33.10909091,44.63636364,0
JAX,TB,11,28,13,0,1,28.36363636,19.0,22.63636364,19.27272727,30.68181818,31.17,39.44545455,35.0,0
MIA,PHI,37,31,13,1,0,22.09090909,14.81818182,20.81818182,17.27272727,31.86090909,27.27818182,43.93636364,35.0,1
NYG,GB,13,31,13,0,1,23.45454545,19.72727273,20.36363636,19.0,31.53181818,28.47636364,34.32727273,36.03636364,0
PIT,CLE,20,13,13,1,0,21.18181818,19.63636364,19.27272727,16.90909091,30.37272727,29.16363636,32.72727273,33.7,1
ARI,LAR,7,34,13,0,1,22.63636364,22.54545455,19.72727273,19.54545455,27.80818182,27.32727273,32.82727273,33.97272727,0
DEN,LAC,23,20,13,1,0,20.36363636,15.90909091,22.0,17.09090909,30.78,28.87090909,43.36363636,27.50909091,1
KC,LV,40,9,13,1,0,20.72727273,28.0,19.09090909,21.81818182,30.12727273,28.71909091,45.97272727,45.92727273,1
HOU,NE,28,22,13,1,0,27.27272727,24.09090909,21.09090909,22.36363636,32.04545455,30.21636364,37.99090909,44.67272727,1
SEA,MIN,37,30,13,1,0,26.27272727,26.54545455,21.45454545,21.81818182,29.86181818,31.31545455,44.16363636,38.47272727,1
CHI,DAL,31,24,14,1,0,25.83333333,17.66666667,24.5,17.58333333,29.09333333,29.32333333,47.8,31.45833333,1
ATL,CAR,40,20,14,1,0,23.33333333,21.66666667,20.41666667,23.75,28.93166667,30.20083333,32.10833333,40.425,1
BUF,BAL,17,24,14,0,1,33.83333333,21.41666667,24.58333333,20.83333333,34.70916667,30.80916667,49.40833333,38.35833333,0
CLE,CIN,27,19,14,1,0,14.91666667,20.5,18.25,19.25,28.03,30.55833333,35.85833333,32.775,1
GB,WAS,20,15,14,1,0,14.41666667,24.08333333,14.41666667,20.25,26.765,31.27333333,26.08333333,35.95,1
HOU,DEN,24,38,14,0,1,16.5,24.41666667,16.75,21.83333333,28.7575,29.8025,29.10833333,45.49166667,0
MIN,DET,20,7,14,1,0,23.33333333,26.58333333,20.75,21.08333333,30.20333333,29.0525,42.5,44.65,1
NO,SF,46,48,14,0,1,29.08333333,24.83333333,21.16666667,20.33333333,32.49333333,31.82083333,45.375,41.68333333,0
NYJ,MIA,22,21,14,1,0,16.66666667,17.0,18.0,15.5,27.60333333,28.535,35.55833333,27.36666667,1
TB,IND,38,35,14,1,0,21.75,28.33333333,22.16666667,22.33333333,31.5275,30.90166667,44.39166667,39.59166667,1
JAX,LAC,10,45,14,0,1,20.33333333,18.33333333,21.58333333,18.83333333,30.95666667,30.7625,42.525,34.46666667,1
ARI,PIT,17,23,14,0,1,19.66666667,21.25,17.0,19.0,29.02833333,27.1525,34.225,32.425,1
LV,TEN,21,42,14,0,1,23.0,19.75,18.75,19.08333333,28.42416667,30.23416667,33.55833333,44.91666667,0
NE,KC,16,23,14,0,1,29.0,26.83333333,21.83333333,21.75,28.675,32.2375,47.4,39.23333333,0
LAR,SEA,28,12,14,1,0,27.41666667,23.58333333,22.0,20.33333333,31.99333333,28.355,39.15833333,34.53333333,1
PHI,NYG,23,17,14,1,0,19.16666667,22.83333333,19.08333333,21.0,28.70083333,31.57416667,36.00833333,44.44166667,1
BAL,NYJ,42,21,15,1,0,17.38461538,33.07692308,16.0,24.07692308,28.61230769,34.53846154,28.56153846,47.70769231,1
CAR,SEA,24,30,15,0,1,26.23076923,23.07692308,21.53846154,20.92307692,31.72923077,28.87153846,38.89230769,31.94615385,0
CIN,NE,13,34,15,0,1,26.0,15.23076923,21.38461538,18.92307692,31.71076923,28.51307692,37.5,35.02307692,0
DET,TB,17,38,15,0,1,29.07692308,22.07692308,22.84615385,20.53846154,31.15153846,29.89384615,40.64615385,42.6,0
GB,CHI,21,13,15,1,0,18.69230769,23.76923077,18.07692308,20.07692308,29.54307692,31.19384615,33.52307692,36.14615385,1
KC,DEN,23,3,15,1,0,18.15384615,28.53846154,17.15384615,21.69230769,28.94923077,29.10076923,31.67692308,46.15384615,1
NYG,MIA,36,20,15,1,0,17.0,19.0,18.30769231,18.46153846,27.83384615,28.15384615,35.19230769,34.52307692,1
TEN,HOU,21,24,15,0,1,24.38461538,24.46153846,22.15384615,19.30769231,29.69076923,28.47769231,45.54615385,36.56923077,0
WAS,PHI,27,37,15,0,1,22.84615385,14.46153846,21.46153846,14.69230769,32.41538462,26.96461538,44.32307692,26.87692308,0
ARI,CLE,38,24,15,1,0,21.0,20.92307692,19.07692308,18.84615385,30.15307692,27.26384615,34.73846154,32.73076923,1
LAC,MIN,10,39,15,0,1,26.07692308,22.23076923,21.15384615,22.0,29.38846154,30.82384615,43.96153846,45.02307692,0
LV,JAX,16,20,15,0,1,17.69230769,19.84615385,18.53846154,19.30769231,30.73230769,30.25307692,33.86923077,44.53846154,0
DAL,LAR,44,21,15,1,0,23.92307692,25.69230769,20.76923077,24.30769231,28.58923077,28.96461538,36.01538462,47.2,1
