HomeTeam,AwayTeam,Week,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns
CHI,GB,1,23.5,26.3125,20.75,20.6875,30.03,32.22,36.8,41.0
CAR,LAR,1,32.9375,23.5,25.0625,22.25,31.42,31.44,45.0,41.6
CLE,TEN,1,19.375,22.4375,18.0625,19.625,30.47,29.29,40.0,35.1
JAX,KC,1,35.3125,15.3125,24.0,17.3125,29.11,30.14,47.2,40.4
MIA,BAL,1,24.3125,19.9375,22.9375,15.75,33.54,28.06,45.0,30.1
MIN,ATL,1,25.875,22.5,22.0,19.375,30.36,30.34,45.3,35.8
NYJ,BUF,1,16.8125,20.8125,17.6875,16.125,30.29,29.1,31.6,32.2
PHI,WAS,1,17.5625,22.9375,17.5,21.625,30.38,33.39,36.4,41.0
LAC,IND,1,27.0625,26.75,23.1875,21.125,30.05,31.43,48.6,39.5
SEA,CIN,1,23.0,26.75,19.0,20.5625,27.27,31.28,36.9,38.9
ARI,DET,1,20.25,14.0625,20.3125,14.9375,31.24,27.33,36.1,29.1
DAL,NYG,1,23.0625,21.1875,18.5625,20.125,29.57,32.32,36.9,41.7
TB,SF,1,21.375,24.75,21.5,24.25,30.55,30.3,37.8,46.0
NE,PIT,1,26.75,27.25,23.625,22.8125,31.0,31.05,44.4,40.8
NO,HOU,1,25.125,31.5,20.8125,23.5625,31.46,32.53,37.0,44.6
LV,DEN,1,20.5625,18.125,20.0,18.75,29.58,31.59,33.3,37.1
CAR,TB,2,17.0,27.0,21.0,21.0,29.56,26.44,45.5,45.5
BAL,ARI,2,27.0,59.0,21.0,31.0,30.37,40.7,40.9,63.6
CIN,SF,2,31.0,20.0,17.0,22.0,30.4,35.5,38.5,40.0
DET,LAC,2,30.0,27.0,25.0,23.0,32.5,39.23,63.6,33.3
GB,MIN,2,28.0,10.0,18.0,13.0,29.47,31.3,50.0,16.7
HOU,JAX,2,26.0,28.0,18.0,22.0,28.45,29.47,50.0,53.8
MIA,NE,2,33.0,10.0,24.0,12.0,32.33,19.53,50.0,30.0
NYG,BUF,2,17.0,17.0,23.0,25.0,27.59,27.42,50.0,18.2
PIT,SEA,2,21.0,3.0,12.0,15.0,24.1,27.27,33.3,25.0
TEN,IND,2,24.0,43.0,22.0,21.0,32.9,29.18,53.8,20.0
WAS,DAL,2,35.0,27.0,23.0,15.0,32.18,25.33,60.0,38.5
LV,KC,2,40.0,24.0,24.0,19.0,31.15,32.45,50.0,71.4
DEN,CHI,2,3.0,16.0,16.0,18.0,28.57,27.15,20.0,46.2
LAR,NO,2,30.0,30.0,25.0,22.0,30.13,33.16,63.6,52.9
ATL,PHI,2,32.0,12.0,22.0,27.0,34.27,30.13,64.7,25.0
NYJ,CLE,2,13.0,16.0,19.0,17.0,30.42,32.1,10.0,41.2
JAX,TEN,3,30.0,19.0,19.5,17.0,28.89,29.275,15.0,36.55
BUF,CIN,3,18.5,22.5,18.0,23.5,31.455,29.985,45.0,44.25
DAL,MIA,3,5.0,33.0,11.5,24.0,21.415,32.7,21.65,61.8
GB,DEN,3,15.0,15.5,22.5,16.5,29.87,32.95,33.8,25.0
IND,ATL,3,18.0,21.5,23.0,21.5,28.865,32.22,27.5,51.9
KC,BAL,3,41.0,34.0,28.5,24.0,39.040000000000006,31.75,56.8,53.55
MIN,LV,3,17.0,22.0,19.0,16.5,29.85,27.505,57.15000000000001,40.4
NE,NYJ,3,9.5,38.0,15.0,25.5,31.145000000000003,34.315,27.75,52.25
PHI,DET,3,20.0,26.0,21.0,20.0,33.82,33.405,36.65,57.35
ARI,CAR,3,20.5,22.0,20.5,18.0,26.57,26.295,33.45,29.55
TB,NYG,3,15.5,18.5,23.0,18.5,27.32,31.545,21.6,31.1
LAC,HOU,3,20.5,20.0,19.5,23.0,29.53,31.845,46.9,54.90000000000001
SEA,NO,3,19.5,24.5,20.0,18.5,29.76,29.78,47.2,35.9
SF,PIT,3,14.5,36.0,16.0,22.0,25.705,31.295,26.15,47.05
CLE,LAR,3,28.5,18.0,21.0,17.5,31.685,29.915,45.7,20.4
