HomeTeam,AwayTeam,Week,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns
CIN,HOU,2,7.0,0.0,23.0,14.0,29.55,26.0,41.7,30.8
BAL,CLE,2,18.0,20.0,20.0,17.0,31.1,34.0,25.0,42.9
CAR,BUF,2,21.0,23.0,23.0,20.0,33.4,34.21,47.1,53.8
IND,ARI,2,23.0,9.0,24.0,10.0,26.4,25.35,40.0,0.0
JAX,TEN,2,16.0,29.0,21.0,19.0,28.21,30.5,50.0,25.0
KC,PHI,2,30.0,42.0,19.0,26.0,34.16,30.14,57.1,36.4
NO,NE,2,27.0,19.0,25.0,19.0,29.46,28.44,33.3,36.4
PIT,MIN,2,29.0,21.0,23.0,16.0,31.16,28.5,64.3,38.5
TB,CHI,2,17.0,0.0,20.0,0.0,29.26,0.0,38.5,0.0
LAC,MIA,2,0.0,21.0,0.0,17.0,0.0,25.47,0.0,25.0
LV,NYJ,2,12.0,26.0,11.0,22.0,26.56,31.39,28.6,41.7
DEN,DAL,2,19.0,24.0,22.0,22.0,34.14,34.13,53.3,53.3
LAR,WAS,2,17.0,46.0,16.0,19.0,25.44,34.25,27.3,35.7
SEA,SF,2,3.0,9.0,13.0,12.0,25.39,20.47,18.2,25.0
ATL,GB,2,17.0,23.0,26.0,18.0,39.13,30.34,56.2,45.5
NYG,DET,2,35.0,3.0,19.0,13.0,33.2,25.46,50.0,33.3
SF,LAR,3,33.0,6.0,16.5,12.0,28.83,24.295,38.7,17.45
JAX,BAL,3,22.0,22.5,20.5,19.5,33.620000000000005,29.82,39.65,35.6
BUF,DEN,3,33.0,12.0,24.0,16.5,33.815,27.55,56.65,38.95
CAR,NO,3,19.5,16.0,19.5,19.5,26.49,36.37000000000001,34.849999999999994,48.8
CHI,PIT,3,23.5,12.0,19.0,19.5,31.36,27.875,30.8,44.25
DET,ATL,3,28.5,29.5,18.5,15.5,29.355,32.835,45.5,48.35
IND,CLE,3,14.0,11.0,20.0,14.0,28.73,29.625,20.85,22.2
MIN,TB,3,29.0,19.0,22.0,18.5,33.11,28.27,53.3,48.8
NE,HOU,3,10.0,31.5,18.5,27.0,30.85,32.53,34.2,41.65
NYJ,MIA,3,19.0,16.0,21.0,14.0,33.22,27.57,38.5,43.45
PHI,NYG,3,6.5,25.0,13.5,23.0,26.295,32.325,33.3,55.2
TEN,SEA,3,10.5,26.5,16.5,21.0,28.525,29.335,33.55,48.1
GB,CIN,3,4.5,20.0,13.0,25.0,26.725,35.18,28.75,48.95
LAC,KC,3,34.5,19.0,21.0,20.5,29.625,25.925,39.05,25.0
WAS,LV,3,35.5,22.0,21.5,18.5,31.295,30.815,54.2,32.9
ARI,DAL,3,18.0,19.5,19.0,20.5,30.12,27.445,37.35,40.0
GB,CHI,4,15.666666666666664,22.33333333333333,19.0,24.0,29.78,33.19,40.6,48.20000000000001
MIA,NO,4,24.33333333333333,12.5,20.0,18.5,28.29333333333333,28.37,39.9,23.4
ATL,BUF,4,16.666666666666668,29.0,16.333333333333332,21.0,28.45333333333333,30.35333333333333,38.46666666666667,45.13333333333333
BAL,PIT,4,21.33333333333333,17.0,19.0,17.666666666666668,30.02,30.93666666666667,32.666666666666664,35.53333333333333
CLE,CIN,4,11.0,18.666666666666668,15.666666666666664,21.66666666666667,29.20666666666667,27.93,30.266666666666666,26.73333333333333
DAL,LAR,4,35.666666666666664,21.33333333333333,19.666666666666668,17.666666666666668,29.03,27.896666666666665,48.03333333333334,32.3
HOU,TEN,4,28.66666666666667,17.666666666666668,21.0,20.0,30.36,31.69333333333334,41.6,37.1
MIN,DET,4,28.33333333333333,24.0,17.333333333333332,20.666666666666668,30.97333333333333,31.33333333333333,39.933333333333344,50.46666666666666
NE,CAR,4,15.0,33.0,19.0,25.0,33.75000000000001,30.426666666666666,49.2,43.16666666666666
NYJ,JAX,4,29.66666666666667,17.333333333333332,21.0,14.666666666666664,31.31333333333333,30.646666666666665,32.06666666666667,39.23333333333333
ARI,SF,4,17.0,18.666666666666668,16.333333333333332,21.0,26.25333333333333,30.346666666666664,28.3,41.46666666666667
LAC,PHI,4,25.66666666666667,16.0,23.33333333333333,21.66666666666667,33.99,27.06333333333333,48.70000000000001,29.5
TB,NYG,4,12.333333333333336,23.0,16.0,21.0,24.95666666666667,27.625,32.2,35.0
DEN,LV,4,27.0,27.33333333333333,16.666666666666668,23.0,28.04333333333333,32.32333333333333,36.13333333333333,52.06666666666666
