HomeTeam,AwayTeam,Week,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns
KC,HOU,1,23.625,28.1875,21.625,21.875,30.02,29.27,43.5,47.6
ATL,SEA,1,25.3125,23.8125,21.3125,23.9375,31.26,31.56,39.5,42.0
BAL,CLE,1,20.9375,33.1875,19.0625,24.125,30.42,35.47,36.2,47.1
BUF,NYJ,1,17.25,19.625,15.8125,19.625,29.53,30.59,30.7,35.8
CAR,LV,1,19.5625,21.25,19.6875,20.9375,31.01,29.55,43.8,31.9
DET,CHI,1,17.5,21.3125,18.5625,19.5625,30.16,29.09,35.6,40.9
JAX,IND,1,22.5625,18.75,21.25,18.625,30.11,30.29,41.5,34.5
MIN,GB,1,23.5,25.4375,20.0,19.625,31.28,29.5,36.0,42.8
NE,MIA,1,19.125,26.25,19.6875,21.125,29.55,32.42,34.3,38.3
WAS,PHI,1,24.0625,16.625,22.125,15.5,33.06,27.12,45.4,29.1
CIN,LAC,1,21.0625,17.4375,21.8125,19.5,31.47,30.37,44.3,36.0
NO,TB,1,28.625,28.625,22.0625,21.6875,31.55,32.19,41.5,42.2
SF,ARI,1,22.5625,29.9375,19.625,21.0,28.41,32.37,36.0,45.0
LAR,DAL,1,27.125,24.625,23.6875,21.375,30.32,29.01,47.1,39.9
NYG,PIT,1,18.0625,21.3125,16.5625,19.4375,29.51,29.43,34.4,37.3
DEN,TEN,1,25.125,17.625,19.8125,17.4375,29.31,29.21,37.8,31.7
CLE,CIN,2,13.0,6.0,19.0,20.0,29.5,30.2,42.9,25.0
CHI,NYG,2,16.0,27.0,20.0,26.0,28.16,29.5,53.3,18.2
DAL,ATL,2,25.0,17.0,28.0,24.0,29.24,24.22,50.0,25.0
GB,DET,2,23.0,43.0,25.0,31.0,30.55,41.16,37.5,54.5
IND,MIN,2,34.0,20.0,25.0,27.0,18.44,33.23,50.0,33.3
MIA,BUF,2,27.0,11.0,31.0,20.0,41.17,25.11,50.0,36.4
NYJ,SF,2,20.0,17.0,18.0,15.0,28.34,18.43,18.2,36.4
PHI,LAR,2,20.0,17.0,23.0,19.0,35.38,30.39,52.9,35.7
PIT,DEN,2,14.0,26.0,19.0,19.0,27.2,31.44,33.3,53.3
TB,CAR,2,30.0,23.0,22.0,23.0,28.48,28.37,53.8,38.5
TEN,JAX,2,27.0,16.0,17.0,26.0,26.37,32.4,50.0,43.8
ARI,WAS,2,27.0,24.0,18.0,29.0,29.21,31.26,27.8,50.0
HOU,BAL,2,38.0,20.0,23.0,21.0,29.58,25.13,54.5,40.0
LAC,KC,2,34.0,16.0,28.0,19.0,34.47,30.1,53.8,37.5
SEA,NE,2,21.0,38.0,29.0,22.0,34.49,30.36,50.0,33.3
LV,NO,2,34.0,34.0,18.0,23.0,31.23,31.12,33.3,54.5
JAX,MIA,3,19.5,28.5,24.0,23.5,28.305,29.795,39.05,60.7
ATL,CHI,3,22.0,32.0,22.0,25.0,31.895,31.36,37.2,48.55
BUF,LAR,3,28.5,29.0,26.5,27.0,33.255,34.86,55.6,50.0
CLE,WAS,3,21.0,20.5,18.5,21.5,27.68,28.205,30.55,43.75
MIN,TEN,3,24.5,22.5,24.5,18.5,29.39,19.895000000000003,53.7,36.1
NE,LV,3,34.0,25.5,25.5,29.0,33.65,31.45000000000001,56.65,54.15
NYG,SF,3,25.5,14.5,17.5,21.0,30.235,26.735,36.0,38.2
PHI,CIN,3,21.5,18.0,24.5,22.0,31.445,29.43,43.65,47.0
PIT,HOU,3,18.0,26.0,19.5,19.0,25.515,30.365,36.65,35.0
IND,NYJ,3,15.0,24.0,16.0,25.5,22.95,35.73999999999999,36.05,30.3
LAC,CAR,3,23.5,18.0,23.0,23.5,31.4,34.685,54.15,41.85
ARI,DET,3,22.0,27.0,22.0,25.5,27.845,32.355000000000004,43.75,45.6
DEN,TB,3,27.0,17.5,21.5,21.0,26.82500000000001,28.755,42.0,33.3
SEA,DAL,3,28.5,36.5,28.5,22.0,25.17,30.775,39.4,38.1
NO,GB,3,42.5,29.0,28.5,22.0,37.81,27.32500000000001,52.25,48.45
BAL,KC,3,28.5,35.5,25.5,23.0,31.425,32.045,50.25,45.1
NYJ,DEN,4,15.0,12.333333333333336,18.33333333333333,15.666666666666664,28.03,25.14,34.1,32.36666666666667
