HomeTeam,AwayTeam,Week,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns
CAR,NYG,5,18.25,17.75,18.75,17.5,31.6775,23.5225,45.425,31.25
CIN,MIA,5,20.5,31.5,15.0,24.5,25.7925,28.875,29.625,46.7
CLE,BAL,5,30.75,25.5,24.5,19.75,32.17,30.855,45.95,33.325
DET,GB,5,23.0,23.5,20.25,22.0,32.525,31.3725,42.525,42.85
KC,JAX,5,22.0,36.25,19.75,24.0,31.0625,29.5325,44.475,47.575
NYJ,DEN,5,21.0,22.25,21.0,15.75,29.31,29.275,36.1,34.0
PIT,ATL,5,29.0,25.5,22.0,23.5,28.835,30.5025,47.725,29.5
LAC,LV,5,24.25,27.75,23.25,22.75,34.6725,31.29,40.125,35.75
PHI,MIN,5,22.5,20.5,22.25,23.25,29.9275,35.465,44.225,39.875
SEA,LAR,5,35.0,21.25,26.25,16.75,31.1775,28.445,44.77499999999999,24.75
SF,ARI,5,9.25,25.0,12.5,22.75,24.6425,28.695,27.3,32.425
HOU,DAL,5,16.75,24.0,19.0,23.25,28.595,30.645,28.250000000000004,38.85
NO,WAS,5,16.0,34.25,17.5,25.25,25.375,32.0925,31.25,39.475
NYG,PHI,6,20.6,20.8,22.8,18.6,33.798,30.208000000000002,36.34,36.34
ATL,TB,6,22.4,26.6,17.6,22.0,23.608,29.172000000000004,31.96,46.76
CIN,PIT,6,28.6,30.6,23.2,23.0,30.362,29.17,38.6,41.0
CLE,LAC,6,27.4,22.8,22.0,19.8,31.912,31.916,39.36,32.980000000000004
HOU,BUF,6,12.6,23.0,14.4,23.6,29.041999999999998,31.791999999999994,25.880000000000006,37.74
LV,SEA,6,23.2,21.4,17.4,21.4,28.816000000000006,32.778,31.46,39.38
MIA,CHI,6,22.2,19.8,17.4,15.4,26.454,26.484,33.72000000000001,29.860000000000007
MIN,ARI,6,13.0,22.6,12.0,21.6,23.610000000000007,30.436,25.18,42.66
NYJ,IND,6,23.6,24.6,21.8,16.2,28.035999999999998,29.128000000000004,48.61999999999999,36.44
WAS,CAR,6,26.0,20.75,22.75,22.0,32.34,31.9825,38.95,38.95
DEN,LAR,6,34.6,20.0,27.0,22.0,30.802000000000003,29.768,42.48,34.599999999999994
DAL,JAX,6,20.4,16.6,21.6,18.0,30.284,29.14,44.34,28.320000000000004
TEN,BAL,6,26.4,17.4,24.6,17.2,32.42,30.69,41.76,38.14
NE,KC,6,35.0,26.6,24.4,21.0,30.112,28.85,44.72000000000001,40.16
GB,SF,6,23.6,23.0,24.8,22.2,30.98,32.660000000000004,37.7,40.02
ARI,DEN,7,20.0,13.666666666666664,22.16666666666667,12.666666666666664,28.89,23.905,33.83333333333333,20.983333333333334
LAC,TEN,7,14.5,29.16666666666667,15.5,22.33333333333333,29.285,31.82166666666667,33.45,34.65
CHI,NE,7,29.33333333333333,27.8,22.66666666666667,22.0,30.191666666666666,33.104,42.433333333333344,47.06
IND,BUF,7,12.666666666666664,25.33333333333333,14.0,22.16666666666667,29.70166666666667,27.126666666666665,28.23333333333333,47.46666666666666
JAX,HOU,7,22.5,18.166666666666668,22.16666666666667,19.666666666666668,30.99333333333333,28.75333333333333,35.3,43.01666666666666
MIA,DET,7,20.83333333333333,21.66666666666667,17.666666666666668,16.666666666666668,25.315,28.12833333333333,34.98333333333333,32.73333333333333
NYJ,MIN,7,23.33333333333333,27.5,21.33333333333333,16.5,31.066666666666666,30.47333333333334,41.5,37.03333333333333
PHI,CAR,7,24.2,22.83333333333333,22.6,22.83333333333333,30.74400000000001,33.54833333333334,37.82000000000001,39.65
TB,CLE,7,21.33333333333333,28.2,19.5,23.6,31.301666666666666,29.25,33.73333333333333,44.46
BAL,NO,7,30.0,25.5,21.33333333333333,24.33333333333333,26.923333333333336,33.24,35.583333333333336,46.56666666666666
SF,LAR,7,32.666666666666664,24.66666666666667,26.5,23.66666666666667,31.51833333333333,30.570000000000004,43.25,35.11666666666667
WAS,DAL,7,20.5,21.2,18.83333333333333,21.2,30.7,32.634,30.46666666666667,39.92
KC,CIN,7,29.0,35.833333333333336,22.33333333333333,23.33333333333333,28.54166666666667,29.01166666666667,42.5,43.93333333333334
ATL,NYG,7,19.5,27.83333333333333,18.33333333333333,22.66666666666667,29.72333333333333,29.54166666666667,35.05,49.21666666666666
HOU,MIA,8,21.571428571428577,22.142857142857146,17.0,21.142857142857142,27.854285714285712,30.758571428571425,35.84285714285714,37.39999999999999
JAX,PHI,8,22.0,16.571428571428573,22.57142857142857,19.0,33.78000000000001,28.967142857142854,37.55714285714286,43.64285714285713
CAR,BAL,8,25.142857142857146,23.66666666666667,24.42857142857143,22.0,32.24714285714286,29.691666666666674,45.87142857142857,39.1
CHI,NYJ,8,26.0,28.33333333333333,16.428571428571427,23.16666666666667,30.047142857142862,32.73666666666667,33.94285714285714,47.55
CIN,TB,8,27.83333333333333,26.285714285714285,25.33333333333333,21.285714285714285,30.61333333333333,28.202857142857145,44.75,41.628571428571426
DET,SEA,8,20.428571428571427,26.16666666666667,15.142857142857142,21.66666666666667,25.048571428571428,30.879999999999995,32.357142857142854,39.15
KC,DEN,8,23.57142857142857,37.142857142857146,21.142857142857142,24.714285714285715,29.11857142857143,29.642857142857146,34.49999999999999,48.371428571428574
NYG,WAS,8,21.0,19.571428571428573,20.166666666666668,18.714285714285715,32.28666666666667,29.395714285714288,37.433333333333344,36.0
PIT,CLE,8,21.571428571428577,24.42857142857143,19.142857142857142,20.285714285714285,31.154285714285717,26.624285714285715,31.97142857142857,35.72857142857143
LV,IND,8,27.0,15.714285714285715,22.142857142857146,17.428571428571427,27.99285714285714,27.46142857142857,48.37142857142857,32.885714285714286
ARI,SF,8,22.57142857142857,13.142857142857142,22.57142857142857,12.857142857142858,30.18857142857143,24.648571428571433,34.0,22.071428571428577
LAR,GB,8,21.142857142857142,33.57142857142857,19.571428571428573,25.57142857142857,27.87142857142857,31.66,32.98571428571429,43.02857142857143
MIN,NO,8,34.0,25.285714285714285,25.66666666666667,20.428571428571427,32.475,31.215714285714284,42.73333333333333,37.47142857142858
BUF,NE,8,30.57142857142857,11.571428571428573,22.428571428571423,14.142857142857142,30.094285714285718,29.23142857142857,42.971428571428575,27.37142857142857
SF,LV,9,19.714285714285715,21.625,20.142857142857142,21.75,30.79,30.43875,40.02857142857143,34.2125
BAL,PIT,9,29.142857142857146,24.625,23.857142857142854,23.875,31.212857142857146,31.415000000000006,42.32857142857143,46.3875
BUF,CHI,9,27.714285714285715,10.875,23.0,14.375,32.69428571428572,29.09,45.51428571428572,27.525
CAR,TB,9,28.714285714285715,25.42857142857143,25.857142857142854,22.0,31.32428571428572,30.321428571428577,46.3,40.65714285714286
CLE,KC,9,36.25,21.125,24.125,18.875,29.33625,30.695,46.075,30.8625
MIA,NYJ,9,24.0,21.75,15.875,17.125,29.686250000000005,28.36,32.375,35.2125
MIN,DET,9,24.42857142857143,24.625,21.571428571428577,21.25,30.111428571428572,31.2175,42.128571428571426,39.0375
WAS,ATL,9,23.75,20.857142857142858,19.75,20.142857142857142,26.1775,32.44285714285714,43.6375,37.8
DEN,HOU,9,24.625,23.5,20.625,21.25,30.4775,29.53,38.975,34.349999999999994
SEA,LAC,9,24.375,24.42857142857143,18.5,18.0,26.9125,29.98428571428571,31.5375,39.5
NO,LAR,9,33.0,33.42857142857143,25.25,24.42857142857143,31.965,31.888571428571428,43.2,42.97142857142857
NE,GB,9,25.0,29.875,21.857142857142854,22.375,31.514285714285716,30.27,36.15714285714286,42.0625
DAL,TEN,9,13.25,17.5,14.5,16.25,26.3675,26.7125,32.5875,27.3125
PIT,CAR,10,27.5,28.375,22.0,24.25,30.406250000000004,31.8475,40.575,44.85
CHI,DET,10,22.5,29.375,21.125,21.5,30.903749999999995,31.80375,40.2,43.2375
CIN,NO,10,34.875,27.625,25.25,21.25,32.07875,27.69,44.8875,41.2375
CLE,ATL,10,28.5,21.11111111111111,22.875,19.666666666666668,30.2475,30.674444444444447,53.25,31.711111111111112
IND,JAX,10,16.75,28.875,18.625,22.875,28.74875,29.03125,43.54999999999999,50.975
KC,ARI,10,13.75,36.333333333333336,13.75,24.444444444444446,24.99375,29.398888888888887,24.675,47.62222222222222
NYJ,BUF,10,10.666666666666666,22.0,15.222222222222221,15.777777777777779,29.668888888888887,29.870000000000005,28.16666666666667,30.488888888888887
TB,WAS,10,20.0,28.625,20.125,25.5,31.812500000000004,31.03375,37.8875,45.725
TEN,NE,10,30.0,16.75,23.0,17.5,29.93555555555556,30.649999999999995,41.43333333333333,42.4125
LV,LAC,10,27.5,17.625,20.75,19.375,29.93625,30.84875,34.3125,38.15
GB,MIA,10,20.777777777777782,24.0,16.0,21.875,28.348888888888887,31.617500000000003,33.388888888888886,37.4125
LAR,SEA,10,23.5,33.22222222222222,18.875,25.0,30.6625,31.323333333333334,37.9,42.566666666666656
PHI,DAL,10,19.25,22.25,18.5,22.5,29.88,33.605000000000004,33.0,40.15
SF,NYG,10,18.75,23.0,18.625,21.33333333333333,28.99875,30.20555555555556,33.2875,35.044444444444444
SEA,GB,11,24.777777777777782,24.33333333333333,21.777777777777782,20.0,31.16222222222223,30.629999999999995,37.7,36.15555555555555
ATL,DAL,11,20.11111111111111,27.11111111111111,19.0,23.11111111111111,30.25111111111111,30.35666666666667,34.888888888888886,51.3
BAL,CIN,11,26.11111111111111,23.66666666666667,20.33333333333333,23.222222222222218,26.851111111111113,30.514444444444447,36.65555555555555,44.93333333333333
DET,CAR,11,26.777777777777782,22.444444444444446,21.555555555555557,21.444444444444443,30.277777777777782,31.02555555555555,40.111111111111114,38.7
IND,TEN,11,18.666666666666668,28.88888888888889,18.11111111111111,22.222222222222218,30.86333333333333,28.527777777777782,42.33333333333333,51.36666666666666
JAX,PIT,11,31.0,17.777777777777782,24.33333333333333,19.222222222222218,31.68111111111111,29.45444444444445,47.944444444444436,44.58888888888888
NYG,TB,11,25.777777777777782,19.666666666666668,25.88888888888889,18.444444444444443,31.04333333333333,28.605555555555554,47.31111111111111,34.22222222222222
WAS,HOU,11,24.0,19.555555555555557,20.222222222222218,19.555555555555557,30.674444444444443,31.442222222222227,38.066666666666656,37.95555555555556
